"","Subject","Label","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyAccMag-mean()","fBodyBodyAccJerkMag-mean()","fBodyBodyGyroMag-mean()","fBodyBodyGyroJerkMag-mean()"
"1",1,"LAYING",-0.6208060032,-0.598158375694,-0.6495545611,-0.979777351,-0.9746106182,-0.96006168,-0.666985588842,-0.63302334208,-0.7798032926,-0.77349377654,-0.67460562286,-0.68697757448,-0.7467172322,-0.833683087,-0.7620762142,-0.65730844026,-0.65730844026,-0.65877150874,-0.68628146254,-0.8261625254,-0.62041815976,-0.631173708744,-0.658095267,-0.692792066978,-0.6539473146,-0.8049461234,-0.79371952428,-0.64644652614,-0.7175309568,-0.70973531638,-0.67988406642,-0.7094494323886,-0.8324230914,0.28754232606,-0.016427673722,-0.1138892106,0.6215510356,0.153978049,0.28411269464,0.05683099032,-0.011356376102,0.0070427911548,-0.094509272268,-0.042396775106,0.10121690628,-0.09793604188,-0.038774965136,-0.03066151584,-0.58488283668,-0.58488283668,-0.67684018824,-0.64562707756,-0.795657537,-0.622989192907,-0.58585741007,-0.6867020006,-0.67148353264,-0.63943487932,-0.7537210436,-0.715183083452,-0.73363223,-0.68232781416,-0.658932209306,-0.6444004768086,-0.7350912692,-0.830651427
"2",2,"LAYING",-0.581733749333333,-0.424322457260417,-0.522148512291667,-0.979940026458333,-0.963061253958333,-0.962336098333333,-0.642973862708333,-0.541859782875,-0.653788289583333,-0.725377588125,-0.685728130833333,-0.609390776875,-0.671732526041667,-0.712498195625,-0.721569423958333,-0.5877907176875,-0.5877907176875,-0.587311351916667,-0.703529142916667,-0.730727101875,-0.572043664710417,-0.4429068610625,-0.548792116875,-0.662656767708333,-0.539038088604167,-0.674621778958333,-0.752604708125,-0.696267892916667,-0.64645464375,-0.66327492825,-0.5834798184375,-0.76342380875,-0.745646255208333,0.282469023541667,-0.0225447975158333,-0.108823348041667,0.784962472291667,0.0415603212708333,-0.013958201356875,0.0942160569291667,-0.0270316525583542,-0.0177747122229167,-0.0471020897520833,-0.0562934203770833,0.1008932058125,-0.0730464313729167,-0.04790203225,-0.0631828069375,-0.494298656508333,-0.494298656508333,-0.597446080208333,-0.592719474583333,-0.70054285375,-0.609029692083333,-0.460628373270833,-0.54279332225,-0.65524205375,-0.573094323833333,-0.631012189166667,-0.641266305625,-0.673359332083333,-0.607521571041667,-0.569812152602083,-0.592845743125,-0.697694019583333,-0.733928682291667
"3",3,"LAYING",-0.782563706774194,-0.741698677532258,-0.76440592483871,-0.977810203548387,-0.971899473870968,-0.954916706612903,-0.788075360790323,-0.763296138629032,-0.847073259193548,-0.863686927258065,-0.817133992387097,-0.786953458064516,-0.854746716129032,-0.893460332903226,-0.848046730483871,-0.773622743483871,-0.773622743483871,-0.778783557087097,-0.815575159032258,-0.889997945322581,-0.786059224354839,-0.759389562903226,-0.769552165967742,-0.803697831112903,-0.767173619129032,-0.857777971935484,-0.873085996290323,-0.805920818741935,-0.80507911516129,-0.814888559532258,-0.787503064516129,-0.83019613983871,-0.893843798387097,0.28064703483871,-0.0190584055620968,-0.115350344693548,0.723415872741936,0.0334437231774194,0.106921332970968,0.0684790959516129,0.0202550292083871,0.00236559790580645,-0.06124435279,-0.0566769665306452,0.109518066280645,-0.0935707479736613,-0.0294541872319355,-0.0549465355919355,-0.748135924629032,-0.748135924629032,-0.789627732580645,-0.766811717274194,-0.874916176129032,-0.774880473709677,-0.739833740290323,-0.791179463548387,-0.791924107709677,-0.775319930693548,-0.835093325967742,-0.836558382741936,-0.843137575,-0.792369383548387,-0.764449104516129,-0.772748934677419,-0.842284191935484,-0.893006558387097
"4",4,"LAYING",-0.678417187944444,-0.452650161481481,-0.732673365925926,-0.968417316481481,-0.956743540740741,-0.948771674259259,-0.711972439207407,-0.571035520740741,-0.804222100555556,-0.736470253962963,-0.62306473462963,-0.616921378759259,-0.729508268351852,-0.732692173314815,-0.65459809447037,-0.64021552862963,-0.64021552862963,-0.663432574793148,-0.629288397338889,-0.730152212444444,-0.672302391231481,-0.463540906296296,-0.742010559814815,-0.713868131155556,-0.565305435777778,-0.806384311851852,-0.754977343277778,-0.608248285462963,-0.667483359518519,-0.702929201025926,-0.664871341687037,-0.679182344518519,-0.736150602190741,0.278146421296296,-0.0122219464481481,-0.0985161216111111,0.614739272592593,0.0291645503148148,0.138005606518519,0.0750386963703704,-0.0271534643648148,0.0121441805718519,-0.0427569983738889,-0.0618525428007407,0.0858380227907407,-0.10161261975,-0.0365692858888889,-0.0765748377962963,-0.601652416166667,-0.601652416166667,-0.685554610587037,-0.586492201314815,-0.719942066240741,-0.697673601435185,-0.499845649314815,-0.754120054074074,-0.735119106181481,-0.602730164814815,-0.800897888888889,-0.681997315240741,-0.654704428,-0.578090937987037,-0.630640021944444,-0.664285163344444,-0.653121995777778,-0.740191760685185
"5",5,"LAYING",-0.368585222673077,-0.330511141076923,-0.387925078586538,-0.968562215384615,-0.945041653461538,-0.910382999807692,-0.435292334044231,-0.458778191511538,-0.6835938875,-0.50584519005,-0.391070242384615,-0.519807488269231,-0.613426611807692,-0.72704935325,-0.636782390576923,-0.341901310505769,-0.341901310505769,-0.428793108069231,-0.406706363523077,-0.725708657461538,-0.365075544115385,-0.366446743134615,-0.379933842865385,-0.476321984557692,-0.474133792669231,-0.715404298269231,-0.522785059478846,-0.331907388611538,-0.575103370576923,-0.441128882461538,-0.447475792634615,-0.438258709884615,-0.746705906307692,0.278305795769231,-0.0231126084423077,-0.104473992461538,0.872881304038462,-0.0787049368653846,0.070223967885,0.0403032669615385,0.0285700969769231,-0.0458873029042308,0.0369794615096154,-0.110539259269231,0.0766006227728846,-0.0899350440961538,-0.03084638075,-0.0633195447826923,-0.320983372807692,-0.320983372807692,-0.495835152317308,-0.322153296698077,-0.673583989807692,-0.3793554225,-0.345673300480769,-0.50817021725,-0.445429642242308,-0.478751999923077,-0.650739008788462,-0.47006511325,-0.524581481596154,-0.492400822069231,-0.349115686569231,-0.41800663925,-0.521649754030769,-0.72520602
"6",6,"LAYING",-0.643440676614035,-0.600535757403509,-0.690285523824561,-0.971070812982456,-0.963063083508772,-0.951357734912281,-0.709569512684211,-0.690785805175439,-0.802951905087719,-0.760687334912281,-0.790026745964912,-0.683554717578947,-0.800840634368421,-0.863411396491228,-0.805657309824561,-0.653006363614035,-0.653006363614035,-0.698981133157895,-0.724942178482456,-0.855920815789474,-0.636700506350877,-0.612912156631579,-0.698292725122807,-0.729160562280702,-0.703877348735088,-0.818589708245614,-0.771790794017544,-0.788211564017544,-0.705579845929825,-0.706667913614035,-0.712465390719298,-0.740404710719298,-0.866859847017544,0.282940032982456,-0.0166113170017544,-0.10899109954386,0.557405539649123,0.0459411448070175,0.216062159591228,0.109963386842105,-0.0146056810182456,0.00347517269175439,-0.0423730935105263,-0.0732621606155965,0.113033785938596,-0.0932739447666667,-0.044364572045614,-0.0411093859898246,-0.613058434508772,-0.613058434508772,-0.720873111,-0.670426892578947,-0.835995027894737,-0.66529544045614,-0.628029551005263,-0.722105573982456,-0.716268718491228,-0.698880742759649,-0.786045186842105,-0.734936898912281,-0.798053508421053,-0.713615545403509,-0.654370109157895,-0.690339714798246,-0.778624285789474,-0.855634371403509
"7",7,"LAYING",-0.457948179788462,-0.526380702207692,-0.577469080523077,-0.958755662307692,-0.955811456153846,-0.928338369230769,-0.534011519104423,-0.553700078790385,-0.727818246730769,-0.656942975384615,-0.689177086730769,-0.623850260230769,-0.702853200384615,-0.783188557711539,-0.707965571153846,-0.458173494365385,-0.458173494365385,-0.538493847942308,-0.633282216711539,-0.759360848809615,-0.450673283,-0.574306228288462,-0.595923958542308,-0.565922690038462,-0.576078482961539,-0.763554728269231,-0.675808434519231,-0.691564433076923,-0.669607253269231,-0.544271653888462,-0.571807562980769,-0.674602933598077,-0.777310312211538,0.289501648846154,-0.0178398461115385,-0.110770385115385,0.588270375,0.0603588381153846,0.114685145661538,0.0756802192173077,0.0107757011373077,-0.0241566378009423,-0.0596541178653846,-0.059102356775,0.0968579480961538,-0.0806904538076923,-0.038540595325,-0.0321249989442308,-0.461195498230769,-0.461195498230769,-0.578908745846154,-0.548981726309615,-0.749807070769231,-0.48128735039,-0.497623504134615,-0.606209568442308,-0.544414926921154,-0.562463476228846,-0.691870262826923,-0.60687891225,-0.695283431094231,-0.597300569096154,-0.455809632519231,-0.516358385098077,-0.669451242307692,-0.758696292019231
"8",8,"LAYING",-0.624672550674074,-0.599360118814815,-0.679521936425926,-0.971216128148148,-0.973806921851852,-0.94998783,-0.6681521415,-0.656951814,-0.802225369074074,-0.762035118518519,-0.70689947712963,-0.700964205,-0.752663830333333,-0.825884280555556,-0.761276556851852,-0.610552578759259,-0.610552578759259,-0.666740915496296,-0.697315263055556,-0.816326606851852,-0.622077076222222,-0.626350937555556,-0.686398276814815,-0.696390379462963,-0.663135935096296,-0.825299105,-0.785117376259259,-0.696103633481482,-0.735895997037037,-0.673460250055556,-0.679440322388889,-0.732552865148148,-0.826103135185185,0.285740435925926,-0.0164569373907407,-0.116024840907407,0.702122030555556,0.0295008575555556,0.128661215802037,0.0685513841314815,0.0133086721477778,0.0114210907353704,-0.0732029368311111,-0.0466331167166667,0.125733847944444,-0.102350072531481,-0.0294258750981481,-0.0488821053962963,-0.601966599659259,-0.601966599659259,-0.690872846666667,-0.647166411655556,-0.794619395740741,-0.63347968472963,-0.597287375905556,-0.718845291481481,-0.670520738183333,-0.673296247796296,-0.778376320555556,-0.692828126740741,-0.735831434,-0.684399827259259,-0.608286596666667,-0.658157163866667,-0.725830350322222,-0.8188806
"9",9,"LAYING",-0.608388065236,-0.4390482353,-0.6409262902,-0.9715744396,-0.962793564,-0.9466663792,-0.646454028,-0.59559784768,-0.767390784,-0.7427481862,-0.6087580313498,-0.485233412992,-0.7259183202,-0.7296665136,-0.640251311804,-0.61625718706,-0.61625718706,-0.6414806072,-0.640526978084,-0.7405148506,-0.601818068932,-0.448334074598,-0.64735222,-0.64824779984,-0.59764871016,-0.7770120654,-0.7641703104,-0.6005302493,-0.5311521736,-0.67654038676,-0.6477982044,-0.69032403666,-0.7635730074,0.26607195798,-0.016595565702,-0.10608974422,0.6597542158,-0.03573846036,0.1064074459764,0.06362443596,0.004622373809,-0.010568062874,0.02775722288,-0.13294673932,0.092352234382,-0.1223580052278,-0.0213353131,-0.067897527966,-0.535053263376,-0.535053263376,-0.64890810692,-0.53319504068,-0.7095842606,-0.627937535844,-0.49327304522,-0.6821121344,-0.67615654708,-0.61893103348,-0.7564570128,-0.67737413356,-0.62896425192,-0.49350245998,-0.61609256154,-0.639779214636,-0.65984438718,-0.738299994
"10",10,"LAYING",-0.55578552492931,-0.317536636524138,-0.544492281896552,-0.972939876551724,-0.949583830172414,-0.950325989655172,-0.599837549537931,-0.467986157034483,-0.661132551051724,-0.648861575344828,-0.567367617137931,-0.57758172437931,-0.650987769696552,-0.65927924187931,-0.647447131036207,-0.512557125327586,-0.512557125327586,-0.521079004413793,-0.574523890141379,-0.66597396227931,-0.548142591362069,-0.334189993655172,-0.565587632603448,-0.611603021948276,-0.469300762051724,-0.679227577448276,-0.673909591206897,-0.56887931137931,-0.624798049827586,-0.607585780574138,-0.530477606002586,-0.63919066912069,-0.683066152827586,0.278252821551724,-0.0180957595706897,-0.114106110706897,0.702257267586207,-0.00526984551724138,0.0496593485862069,0.0765178857741379,-0.00835255903551724,-1.53377225862077e-05,-0.0486256824689655,-0.0479522854793103,0.0792913841551724,-0.0889991522241379,-0.0185644984,-0.0533551714931034,-0.457029923327586,-0.457029923327586,-0.564719782551724,-0.500064106837931,-0.657812936655172,-0.577754775172414,-0.372699007810345,-0.572938174827586,-0.623037962327586,-0.500152306241379,-0.641326459189655,-0.574520705422414,-0.573341757074138,-0.559665221672414,-0.48333301655,-0.517041492948276,-0.592997775672414,-0.671077457568966
