	Subject	Label	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-std()	tGravityAccMag-std()	tBodyAccJerkMag-std()	tBodyGyroMag-std()	tBodyGyroJerkMag-std()	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-std()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-std()	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyAccMag-mean()	tGravityAccMag-mean()	tBodyAccJerkMag-mean()	tBodyGyroMag-mean()	tBodyGyroJerkMag-mean()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyAccMag-mean()	fBodyBodyAccJerkMag-mean()	fBodyBodyGyroMag-mean()	fBodyBodyGyroJerkMag-mean()
1	1	LAYING	-0.620806003	-0.598158376	-0.649554561	-0.979777351	-0.974610618	-0.96006168	-0.666985589	-0.633023342	-0.779803293	-0.773493777	-0.674605623	-0.686977574	-0.746717232	-0.833683087	-0.762076214	-0.65730844	-0.65730844	-0.658771509	-0.686281463	-0.826162525	-0.62041816	-0.631173709	-0.658095267	-0.692792067	-0.653947315	-0.804946123	-0.793719524	-0.646446526	-0.717530957	-0.709735316	-0.679884066	-0.709449432	-0.832423091	0.287542326	-0.016427674	-0.113889211	0.621551036	0.153978049	0.284112695	0.05683099	-0.011356376	0.007042791	-0.094509272	-0.042396775	0.101216906	-0.097936042	-0.038774965	-0.030661516	-0.584882837	-0.584882837	-0.676840188	-0.645627078	-0.795657537	-0.622989193	-0.58585741	-0.686702001	-0.671483533	-0.639434879	-0.753721044	-0.715183083	-0.73363223	-0.682327814	-0.658932209	-0.644400477	-0.735091269	-0.830651427
2	2	LAYING	-0.581733749	-0.424322457	-0.522148512	-0.979940026	-0.963061254	-0.962336098	-0.642973863	-0.541859783	-0.65378829	-0.725377588	-0.685728131	-0.609390777	-0.671732526	-0.712498196	-0.721569424	-0.587790718	-0.587790718	-0.587311352	-0.703529143	-0.730727102	-0.572043665	-0.442906861	-0.548792117	-0.662656768	-0.539038089	-0.674621779	-0.752604708	-0.696267893	-0.646454644	-0.663274928	-0.583479818	-0.763423809	-0.745646255	0.282469024	-0.022544798	-0.108823348	0.784962472	0.041560321	-0.013958201	0.094216057	-0.027031653	-0.017774712	-0.04710209	-0.05629342	0.100893206	-0.073046431	-0.047902032	-0.063182807	-0.494298657	-0.494298657	-0.59744608	-0.592719475	-0.700542854	-0.609029692	-0.460628373	-0.542793322	-0.655242054	-0.573094324	-0.631012189	-0.641266306	-0.673359332	-0.607521571	-0.569812153	-0.592845743	-0.69769402	-0.733928682
3	3	LAYING	-0.782563707	-0.741698678	-0.764405925	-0.977810204	-0.971899474	-0.954916707	-0.788075361	-0.763296139	-0.847073259	-0.863686927	-0.817133992	-0.786953458	-0.854746716	-0.893460333	-0.84804673	-0.773622743	-0.773622743	-0.778783557	-0.815575159	-0.889997945	-0.786059224	-0.759389563	-0.769552166	-0.803697831	-0.767173619	-0.857777972	-0.873085996	-0.805920819	-0.805079115	-0.81488856	-0.787503065	-0.83019614	-0.893843798	0.280647035	-0.019058406	-0.115350345	0.723415873	0.033443723	0.106921333	0.068479096	0.020255029	0.002365598	-0.061244353	-0.056676967	0.109518066	-0.093570748	-0.029454187	-0.054946536	-0.748135925	-0.748135925	-0.789627733	-0.766811717	-0.874916176	-0.774880474	-0.73983374	-0.791179464	-0.791924108	-0.775319931	-0.835093326	-0.836558383	-0.843137575	-0.792369384	-0.764449105	-0.772748935	-0.842284192	-0.893006558
4	4	LAYING	-0.678417188	-0.452650161	-0.732673366	-0.968417316	-0.956743541	-0.948771674	-0.711972439	-0.571035521	-0.804222101	-0.736470254	-0.623064735	-0.616921379	-0.729508268	-0.732692173	-0.654598094	-0.640215529	-0.640215529	-0.663432575	-0.629288397	-0.730152212	-0.672302391	-0.463540906	-0.74201056	-0.713868131	-0.565305436	-0.806384312	-0.754977343	-0.608248285	-0.66748336	-0.702929201	-0.664871342	-0.679182345	-0.736150602	0.278146421	-0.012221946	-0.098516122	0.614739273	0.02916455	0.138005607	0.075038696	-0.027153464	0.012144181	-0.042756998	-0.061852543	0.085838023	-0.10161262	-0.036569286	-0.076574838	-0.601652416	-0.601652416	-0.685554611	-0.586492201	-0.719942066	-0.697673601	-0.499845649	-0.754120054	-0.735119106	-0.602730165	-0.800897889	-0.681997315	-0.654704428	-0.578090938	-0.630640022	-0.664285163	-0.653121996	-0.740191761
5	5	LAYING	-0.368585223	-0.330511141	-0.387925079	-0.968562215	-0.945041653	-0.910383	-0.435292334	-0.458778192	-0.683593888	-0.50584519	-0.391070242	-0.519807488	-0.613426612	-0.727049353	-0.636782391	-0.341901311	-0.341901311	-0.428793108	-0.406706364	-0.725708657	-0.365075544	-0.366446743	-0.379933843	-0.476321985	-0.474133793	-0.715404298	-0.522785059	-0.331907389	-0.575103371	-0.441128882	-0.447475793	-0.43825871	-0.746705906	0.278305796	-0.023112608	-0.104473992	0.872881304	-0.078704937	0.070223968	0.040303267	0.028570097	-0.045887303	0.036979462	-0.110539259	0.076600623	-0.089935044	-0.030846381	-0.063319545	-0.320983373	-0.320983373	-0.495835152	-0.322153297	-0.67358399	-0.379355423	-0.3456733	-0.508170217	-0.445429642	-0.478752	-0.650739009	-0.470065113	-0.524581482	-0.492400822	-0.349115687	-0.418006639	-0.521649754	-0.72520602
6	6	LAYING	-0.643440677	-0.600535757	-0.690285524	-0.971070813	-0.963063084	-0.951357735	-0.709569513	-0.690785805	-0.802951905	-0.760687335	-0.790026746	-0.683554718	-0.800840634	-0.863411396	-0.80565731	-0.653006364	-0.653006364	-0.698981133	-0.724942178	-0.855920816	-0.636700506	-0.612912157	-0.698292725	-0.729160562	-0.703877349	-0.818589708	-0.771790794	-0.788211564	-0.705579846	-0.706667914	-0.712465391	-0.740404711	-0.866859847	0.282940033	-0.016611317	-0.1089911	0.55740554	0.045941145	0.21606216	0.109963387	-0.014605681	0.003475173	-0.042373094	-0.073262161	0.113033786	-0.093273945	-0.044364572	-0.041109386	-0.613058435	-0.613058435	-0.720873111	-0.670426893	-0.835995028	-0.66529544	-0.628029551	-0.722105574	-0.716268718	-0.698880743	-0.786045187	-0.734936899	-0.798053508	-0.713615545	-0.654370109	-0.690339715	-0.778624286	-0.855634371
7	7	LAYING	-0.45794818	-0.526380702	-0.577469081	-0.958755662	-0.955811456	-0.928338369	-0.534011519	-0.553700079	-0.727818247	-0.656942975	-0.689177087	-0.62385026	-0.7028532	-0.783188558	-0.707965571	-0.458173494	-0.458173494	-0.538493848	-0.633282217	-0.759360849	-0.450673283	-0.574306228	-0.595923959	-0.56592269	-0.576078483	-0.763554728	-0.675808435	-0.691564433	-0.669607253	-0.544271654	-0.571807563	-0.674602934	-0.777310312	0.289501649	-0.017839846	-0.110770385	0.588270375	0.060358838	0.114685146	0.075680219	0.010775701	-0.024156638	-0.059654118	-0.059102357	0.096857948	-0.080690454	-0.038540595	-0.032124999	-0.461195498	-0.461195498	-0.578908746	-0.548981726	-0.749807071	-0.48128735	-0.497623504	-0.606209568	-0.544414927	-0.562463476	-0.691870263	-0.606878912	-0.695283431	-0.597300569	-0.455809633	-0.516358385	-0.669451242	-0.758696292
8	8	LAYING	-0.624672551	-0.599360119	-0.679521936	-0.971216128	-0.973806922	-0.94998783	-0.668152142	-0.656951814	-0.802225369	-0.762035119	-0.706899477	-0.700964205	-0.75266383	-0.825884281	-0.761276557	-0.610552579	-0.610552579	-0.666740915	-0.697315263	-0.816326607	-0.622077076	-0.626350938	-0.686398277	-0.696390379	-0.663135935	-0.825299105	-0.785117376	-0.696103633	-0.735895997	-0.67346025	-0.679440322	-0.732552865	-0.826103135	0.285740436	-0.016456937	-0.116024841	0.702122031	0.029500858	0.128661216	0.068551384	0.013308672	0.011421091	-0.073202937	-0.046633117	0.125733848	-0.102350073	-0.029425875	-0.048882105	-0.6019666	-0.6019666	-0.690872847	-0.647166412	-0.794619396	-0.633479685	-0.597287376	-0.718845291	-0.670520738	-0.673296248	-0.778376321	-0.692828127	-0.735831434	-0.684399827	-0.608286597	-0.658157164	-0.72583035	-0.8188806
9	9	LAYING	-0.608388065	-0.439048235	-0.64092629	-0.97157444	-0.962793564	-0.946666379	-0.646454028	-0.595597848	-0.767390784	-0.742748186	-0.608758031	-0.485233413	-0.72591832	-0.729666514	-0.640251312	-0.616257187	-0.616257187	-0.641480607	-0.640526978	-0.740514851	-0.601818069	-0.448334075	-0.64735222	-0.6482478	-0.59764871	-0.777012065	-0.76417031	-0.600530249	-0.531152174	-0.676540387	-0.647798204	-0.690324037	-0.763573007	0.266071958	-0.016595566	-0.106089744	0.659754216	-0.03573846	0.106407446	0.063624436	0.004622374	-0.010568063	0.027757223	-0.132946739	0.092352234	-0.122358005	-0.021335313	-0.067897528	-0.535053263	-0.535053263	-0.648908107	-0.533195041	-0.709584261	-0.627937536	-0.493273045	-0.682112134	-0.676156547	-0.618931033	-0.756457013	-0.677374134	-0.628964252	-0.49350246	-0.616092562	-0.639779215	-0.659844387	-0.738299994
10	10	LAYING	-0.555785525	-0.317536637	-0.544492282	-0.972939877	-0.94958383	-0.95032599	-0.59983755	-0.467986157	-0.661132551	-0.648861575	-0.567367617	-0.577581724	-0.65098777	-0.659279242	-0.647447131	-0.512557125	-0.512557125	-0.521079004	-0.57452389	-0.665973962	-0.548142591	-0.334189994	-0.565587633	-0.611603022	-0.469300762	-0.679227577	-0.673909591	-0.568879311	-0.62479805	-0.607585781	-0.530477606	-0.639190669	-0.683066153	0.278252822	-0.01809576	-0.114106111	0.702257268	-0.005269846	0.049659349	0.076517886	-0.008352559	-1.53E-05	-0.048625682	-0.047952285	0.079291384	-0.088999152	-0.018564498	-0.053355171	-0.457029923	-0.457029923	-0.564719783	-0.500064107	-0.657812937	-0.577754775	-0.372699008	-0.572938175	-0.623037962	-0.500152306	-0.641326459	-0.574520705	-0.573341757	-0.559665222	-0.483333017	-0.517041493	-0.592997776	-0.671077458
